,amf_phase2
XLI,0.3601190476190476
GLD,0.3482142857142857
QQQ,0.31845238095238093
EMB,0.27976190476190477
SHY,0.1636904761904762
XLE,0.36607142857142855
XLF,0.39285714285714285
FXE,0.3869047619047619
EWJ,0.40476190476190477
UUP,0.3869047619047619
TLT,0.1636904761904762
FXI,0.41964285714285715
USO,0.3630952380952381
XLRE,0.37797619047619047
XAR,0.3601190476190476
PDBC,0.3630952380952381
GDX,0.3601190476190476
SLV,0.3601190476190476
ITA,0.3601190476190476
EIS,0.35714285714285715
DBC,0.3630952380952381
BITO,0.20238095238095238
EWZ,0.43154761904761907
EEM,0.4166666666666667
TIP,0.1636904761904762
SPY,0.2916666666666667
XLV,0.38095238095238093
GOVT,0.1636904761904762
VIXY,0.34226190476190477
IEF,0.1636904761904762
LQD,0.17261904761904762
XLU,0.39285714285714285
HYG,0.4255952380952381
DBA,0.3869047619047619
XLK,0.31845238095238093
IBIT,0.14285714285714285
VGK,0.3958333333333333
VNQ,0.37797619047619047
FXY,0.2619047619047619
XLP,0.36904761904761907
EFA,0.3958333333333333
DIA,0.37202380952380953
IWM,0.375
