,outflow,inflow,net_flow,leader_score
HYG,1.0560249375544375,0.6711772976403836,0.3848476399140539,0.2228156217319642
SHY,0.4461131971022365,0.21912040009817368,0.22699279700406283,0.3412226891804986
EEM,0.8760580527005795,0.6716246583333718,0.20443339436720764,0.13208999034267432
XLF,0.995716970894909,0.8353261839736943,0.16039078692121467,0.08759530679874385
PDBC,0.8269084919577567,0.6890745166325196,0.1378339753252371,0.090920527825914
XLU,0.8364728165664841,0.7214866752450373,0.1149861413214468,0.07380560400859063
EMB,0.9436908734088865,0.8379904468401818,0.10570042656870471,0.059326224820045716
QQQ,0.9641349528051646,0.8805159386399151,0.08361901416524953,0.04533053628115521
XLI,0.9537604653195624,0.8709494402616118,0.08281102505795057,0.04538311805077682
ITA,0.789923931824871,0.7085207302517493,0.08140320157312164,0.05432513033539488
SPY,0.9890640273056273,0.9266132620348482,0.062450765270779085,0.032599835898779954
SLV,0.8081027465781898,0.745933464754652,0.06216928182353776,0.04000504065874814
EWJ,0.8083008694574376,0.746788003205993,0.06151286625144459,0.03955585261319164
XLE,0.8848844493506649,0.8241233563067296,0.06076109304393529,0.03555343213719689
DBA,0.7722322704652922,0.7154530738430533,0.05677919662223885,0.0381661329364107
XAR,0.9076175609276402,0.8604016794402509,0.04721588148738931,0.026705524694908882
XLP,0.7970371912096195,0.7605852724456568,0.0364519187639627,0.023402281112510838
XLK,0.83463871217701,0.800388313826685,0.03425039835032506,0.020947909608530758
XLRE,0.8233100311238744,0.7949204748774696,0.028389556246404712,0.017543579940784267
VNQ,0.857190112129613,0.840326203770398,0.01686390835921503,0.009934460246575278
EWZ,0.8466503652985582,0.8378102941464858,0.008840071152072415,0.005248012829495247
DIA,0.8503475696608245,0.8471028631447688,0.0032447065160556843,0.0019115176815511434
GLD,0.7384700961906556,0.7355818584298792,0.002888237760776402,0.0019593866766548147
IWM,0.8410863596913631,0.8469724947447039,-0.005886135053340791,-0.003486925255907911
XLV,0.7942725784531972,0.8145515402347137,-0.020278961781516447,-0.012604834515282274
UUP,0.6922575964903879,0.7171358664572427,-0.024878269966854827,-0.017651756318678245
LQD,0.9215489207334155,0.946665960073297,-0.02511703933988141,-0.013444405992361649
IEF,0.853843674246366,0.8826986482295016,-0.028854973983135634,-0.01661633788477677
FXI,0.7416114029354088,0.773200565824854,-0.03158916288944513,-0.02085352079255927
DBC,0.7369919170874188,0.7822784888504362,-0.045286571763017314,-0.029808104984498016
GOVT,0.6626280880277617,0.7222165736198987,-0.05958848559213692,-0.0430290033518538
VIXY,0.784679186305465,0.860373728287235,-0.07569454198177006,-0.04601343902418482
EFA,0.7874978901934493,0.9190426547957735,-0.13154476460232423,-0.07708270687201674
GDX,0.7109038576863946,0.8549632339847106,-0.144059376298316,-0.09199974701261188
VGK,0.7619200388868028,0.9106770245478855,-0.14875698566108264,-0.08893772977618142
FXY,0.6862181470973823,0.8508395439455578,-0.16462139684817556,-0.10710163827732765
USO,0.8323096071434621,1.009263776522012,-0.1769541693785499,-0.0960885788959063
TLT,0.6161734106531185,0.8220852031290178,-0.2059117924758993,-0.14316743212133723
TIP,0.7658183581390854,1.0129805176761877,-0.2471621595371023,-0.1389489069751779
FXE,0.609943518667277,1.1385950153811148,-0.5286514967138378,-0.3023390599574703
